#{"t_start": 1618165631.290227, "env_id": "seir-v0"}
r,l,t
-0.202365,25,4.580246
-0.455929,25,5.958469
-0.321067,25,7.312788
-0.25183,25,8.719725
-0.339908,25,9.997737
-0.375075,25,11.226323
-0.259408,25,12.444763
-0.503577,25,13.627803
-0.411732,25,14.878611
-0.458379,25,16.072807
-0.399389,25,17.279337
-0.435495,25,18.517048
-0.437707,25,19.79131
-0.578252,25,20.938023
-0.479812,25,22.220876
-0.26811,25,23.503835
-0.460415,25,24.652245
-0.386224,25,25.87161
-0.445092,25,27.01452
-0.277967,25,28.264961
-0.334569,25,29.585472
-0.283347,25,30.706073
-0.349801,25,31.905244
-0.481847,25,33.302906
-0.186512,25,34.377686
-0.359808,25,35.814531
-0.43384,25,37.042035
-0.370226,25,38.460042
-0.2464,25,39.721024
-0.317697,25,40.909463
-0.366997,25,42.43352
-0.377583,25,43.820409
-0.446991,25,45.099871
-0.436713,25,46.468937
-0.326046,25,47.606899
-0.379403,25,48.751333
-0.317068,25,50.121047
-0.322558,25,51.409075
-0.379001,25,52.768957
-0.417357,25,53.941157
-0.26441,25,55.601949
-0.283676,25,56.896226
-0.281435,25,58.132909
-0.528442,25,59.396587
-0.450287,25,60.570528
-0.269698,25,61.757053
-0.296445,25,62.891709
-0.390803,25,64.210463
-0.379596,25,65.350847
-0.435227,25,66.489988
-0.446111,25,67.568636
-0.342126,25,68.679717
-0.360106,25,69.794257
-0.359647,25,70.968995
-0.461113,25,72.432967
-0.413516,25,73.68738
-0.262364,25,74.974909
-0.494171,25,76.235953
-0.500049,25,77.508218
-0.242642,25,79.083137
-0.445303,25,80.672626
-0.468225,25,82.081627
-0.427721,25,83.273908
-0.279581,25,84.569251
-0.445179,25,85.767786
-0.424944,25,86.990755
-0.327443,25,88.193021
-0.405362,25,89.545495
-0.360016,25,90.8633
-0.375256,25,92.152374
-0.327655,25,93.389444
-0.341621,25,94.808262
-0.268895,25,96.095324
-0.373407,25,97.369965
-0.358911,25,98.605238
-0.423926,25,99.845071
-0.389949,25,101.089664
-0.532758,25,102.242247
-0.306582,25,103.549762
-0.218628,25,104.732866
-0.319376,25,105.955648
-0.175702,25,109.238797
-0.349811,25,110.613336
-0.372872,25,111.873389
-0.381703,25,113.043206
-0.367077,25,114.294832
-0.205175,25,115.790344
-0.219883,25,116.865386
-0.395778,25,118.100144
-0.499377,25,119.420445
-0.210879,25,120.834104
-0.369758,25,122.201081
-0.32975,25,123.408491
-0.46805,25,124.641474
-0.236888,25,125.781985
-0.207971,25,127.148985
-0.384812,25,128.456532
-0.29516,25,129.777858
-0.391304,25,131.136794
-0.2147,25,132.594073
-0.292695,25,133.829666
-0.330519,25,134.89976
-0.39106,25,136.017585
-0.246061,25,137.065515
-0.244477,25,138.207791
-0.202151,25,139.268709
-0.361394,25,140.395952
-0.228766,25,141.476066
-0.423697,25,142.662959
-0.323524,25,143.720145
-0.166244,25,144.824349
-0.41338,25,146.310514
-0.287928,25,147.670238
-0.327254,25,148.79842
-0.360764,25,149.889136
-0.412545,25,151.027327
-0.297783,25,152.082101
-0.30866,25,153.21025
-0.285642,25,154.279248
-0.248852,25,155.391198
-0.377838,25,156.483963
-0.377641,25,157.631204
-0.239188,25,158.696204
-0.422156,25,159.79545
-0.357783,25,160.892298
-0.356967,25,161.973353
-0.331581,25,163.067835
-0.269432,25,164.141827
-0.50465,25,165.283407
-0.209371,25,166.360825
-0.439204,25,167.462792
-0.403998,25,168.617325
-0.353404,25,169.739241
-0.258853,25,170.7982
-0.377843,25,171.895482
-0.401181,25,172.964538
-0.37647,25,174.094514
-0.284658,25,175.206383
-0.218563,25,176.272295
-0.429098,25,177.385372
-0.307503,25,178.484078
-0.363718,25,179.740807
-0.265726,25,181.102751
-0.386179,25,182.509041
-0.362004,25,183.83843
-0.351573,25,185.246421
-0.24696,25,186.656265
-0.300132,25,188.074842
-0.329389,25,189.450583
-0.25389,25,190.828012
-0.282808,25,192.176815
-0.252148,25,193.499659
-0.30172,25,194.832814
-0.289067,25,196.020954
-0.239113,25,197.408515
-0.407638,25,198.683769
-0.373173,25,199.903994
-0.285943,25,201.102574
-0.307015,25,202.317559
-0.343684,25,203.422445
-0.37037,25,204.59266
-0.341754,25,205.884325
-0.328915,25,207.059871
-0.098441,25,209.553897
-0.259506,25,210.766263
-0.401002,25,212.0014
-0.384429,25,213.22545
-0.276269,25,214.498312
-0.145195,25,215.676558
-0.353047,25,216.806874
-0.234359,25,217.886904
-0.302134,25,219.030877
-0.298815,25,220.155638
-0.400897,25,221.23599
-0.321939,25,222.33399
-0.309349,25,223.390914
-0.296142,25,224.530718
-0.350178,25,225.591961
-0.253943,25,226.717797
-0.141436,25,227.779967
-0.223053,25,228.868915
-0.134259,25,229.947858
-0.267776,25,231.086833
-0.223423,25,232.159392
-0.307513,25,233.254691
-0.199948,25,234.371271
-0.418835,25,235.431408
-0.169659,25,236.551486
-0.258497,25,237.604709
-0.372697,25,238.739463
-0.297155,25,239.805774
-0.235526,25,240.957376
-0.279782,25,242.207574
-0.208397,25,243.54233
-0.232366,25,244.778941
-0.225701,25,246.026204
-0.349143,25,247.332415
-0.330937,25,248.730717
-0.365785,25,250.225343
-0.355974,25,251.61865
-0.312538,25,252.827104
-0.256647,25,253.92943
-0.418885,25,255.116057
-0.415886,25,256.30196
-0.17615,25,257.470209
-0.167166,25,258.588049
-0.312832,25,259.679874
-0.36004,25,260.746446
-0.273988,25,261.87076
-0.256548,25,262.972213
-0.306928,25,264.069029
-0.233852,25,265.199462
-0.262715,25,266.269835
-0.35012,25,267.375829
-0.174756,25,268.442174
-0.366975,25,269.572129
-0.405117,25,270.676716
-0.362826,25,271.805074
-0.313228,25,273.117708
-0.402829,25,274.539104
-0.209924,25,275.942206
-0.232567,25,277.408676
-0.345733,25,278.90003
-0.397604,25,280.123549
-0.400652,25,281.380714
-0.39466,25,282.609629
-0.272066,25,283.807504
-0.388344,25,285.068928
-0.250704,25,286.365033
-0.165606,25,287.564444
-0.209673,25,288.967127
-0.32656,25,290.320998
-0.432351,25,291.805896
-0.122173,25,293.168912
-0.350392,25,294.386646
-0.246361,25,296.312886
-0.170133,25,297.930865
-0.390014,25,299.234149
-0.293636,25,300.581957
-0.162409,25,301.921821
